Attribute label	Status	Data type	Key name
`type:claim`  required  string  ``:claim/type``
`status:meta`  required  string  ``:claim/statuses`` 
`researcher:meta` required string  ``:meta/researchers``
`internal_comments:meta`  optional  string  ``:meta/internal-comments``
`citation:refs:claim`  required  strings<->uuids  ``:claim/citation:refs``
`about_entity:ref:claim`  required  string<->uuid  ``:claim/about-entity:ref``
`about_entity:name:qa`  optional  string  ``:claim/about-entity:ref`` 
`country:annotation`  required  string  ``:annotation/country``
`incident:location:descriptions:assertion`  optional  string  ``:assertion/incident:location:descriptions``
`incident:location:refs:assertion`  required  string<->uuid  ``:assertion/incident:location:refs``
`incident:location:names:qa`  optional  string  ``:assertion/incident:location:refs``  
`incident:violation:types:assertion`  required  string  ``:assertion/incident:violation:types``
`incident:violation:descriptions:assertion`  required  string  ``:assertion/incident:violation:descriptions``
`incident:perpetrator:refs:assertion`  optional  strings<->uuids  ``:assertion/incident:perpetrator:refs``  
`incident:perpetrator:names:qa`  optional  strings  ``:assertion/incident:perpetrator:refs``    
`incident:perpetrator:classifications:assertion`  optional  strings  ``:assertion/incident:perpetrator:classifications``
`incident:victim:refs:assertion`  draft  strings<->uuids  ``:assertion/incident:victim:refs``
`incident:victim:names:qa`  draft  strings  ``:assertion/incident:victim:refs``  
`first_precise:range`  optional string-date  ``:range-precise/first``
`last_precise:range`  optional  string-date  ``:range-precise/last``
`first_imprecise:range`  optional  string-date  ``:range-imprecise/first``
`last_imprecise:range` optional  string-date  ``:range-imprecise/last``
`starting:range` required YN<->bool ``:range/starting?``
`ending:range` required YN<->bool ``:range/ending?``
`starting_context:range`  optional  string  ``:range/starting-context``
`ending_context:range`  optional  string  ``:range/ending-context``
`public_notes:meta`  optional  string  ``:meta/public-notes``
`type:entity`  required  string  ``:entity/type``
